"","Depthm","T_degC","Salnty","O2ml_L","Year"
"61",10,14.628,32.9206,5.863,"2016"
"62",20,14.463,32.9149,5.86,"2016"
"63",30,14.432,32.923,5.875,"2016"
"64",49,14.326,32.9275,5.839,"2016"
"65",50,14.28,32.9277,5.842,"2016"
"66",69,14.051,32.9495,5.782,"2016"
"67",75,13.892,33.0085,5.77,"2016"
"68",99,12.124,33.1094,5.308,"2016"
"69",100,12.092,33.1392,5.335,"2016"
"70",121,11.096,33.2255,4.826,"2016"
"71",125,10.728,33.2534,4.878,"2016"
"72",140,10.173,33.3954,3.986,"2016"
"73",150,9.681,33.4588,3.923,"2016"
"74",200,9.116,33.8454,2.715,"2016"
"75",250,8.413,33.9831,2.606,"2016"
"76",270,8.356,34.0485,2.084,"2016"
"77",300,7.231,33.9577,3.197,"2016"
"78",379,6.243,33.9702,2.223,"2016"
"79",400,6.049,33.9895,1.899,"2016"
"80",500,5.582,34.1215,0.728,"2016"
"81",516,5.344,34.0684,0.855,"2016"
"82",0,14.41,32.9129,5.922,"2016"
"83",2,14.41,32.9129,5.922,"2016"
"84",9,14.409,32.9411,5.925,"2016"
"85",10,14.406,32.9423,5.939,"2016"
"86",20,14.147,32.9364,5.936,"2016"
"87",30,14.053,32.9425,5.962,"2016"
"88",48,14.034,32.9516,5.855,"2016"
"89",50,14.035,32.9517,5.88,"2016"
"90",71,13.984,32.9613,5.822,"2016"
"91",75,13.948,32.9698,5.738,"2016"
"92",99,12.68,33.0559,5.211,"2016"
"93",100,12.391,33.0871,5.211,"2016"
"94",120,10.664,33.1837,4.562,"2016"
"95",125,10.37,33.2486,4.515,"2016"
"96",141,9.818,33.4029,4.102,"2016"
"97",150,9.723,33.4636,3.898,"2016"
"98",200,9.558,33.8839,2.239,"2016"
"99",201,9.554,33.8941,2.222,"2016"
"100",250,9.062,34.0188,1.927,"2016"
"101",272,9.182,34.1277,1.538,"2016"
"102",300,8.562,34.0874,1.652,"2016"
"103",380,7.483,34.1297,1.14,"2016"
"104",400,7.245,34.1392,1.051,"2016"
"105",500,6.333,34.1648,0.67,"2016"
"106",516,6.364,34.1997,0.578,"2016"
"107",0,13.902,33.2802,5.873,"2016"
"108",2,13.902,33.2802,5.873,"2016"
"109",4,13.906,33.2944,5.87,"2016"
"110",10,13.9,33.294,5.87,"2016"
"111",20,13.891,33.2939,5.873,"2016"
"112",30,13.858,33.2931,5.864,"2016"
"113",50,13.843,33.2945,5.813,"2016"
"114",69,13.295,33.3353,5.104,"2016"
"115",75,12.998,33.3705,5.041,"2016"
"116",78,12.766,33.3704,4.789,"2016"
"117",0,13.976,33.2664,6.095,"2016"
"118",2,13.976,33.2664,6.095,"2016"
"119",9,13.977,33.2837,6.075,"2016"
"120",10,13.965,33.2921,6.088,"2016"
"121",20,13.909,33.3135,5.962,"2016"
"122",30,13.895,33.3202,5.915,"2016"
"123",50,13.284,33.3958,5.169,"2016"
"124",70,12.761,33.3942,4.834,"2016"
"125",75,12.054,33.4274,4.651,"2016"
"126",100,11.508,33.4725,3.988,"2016"
"127",120,10.64,33.5353,3.648,"2016"
"128",125,10.535,33.5761,3.564,"2016"
"129",142,10.267,33.622,3.354,"2016"
"130",150,9.894,33.7073,3.121,"2016"
"131",200,8.81,33.9708,2.265,"2016"
"132",201,8.663,33.9955,2.19,"2016"
"133",250,7.943,34.0912,1.655,"2016"
"134",271,7.801,34.0936,1.472,"2016"
"135",0,13.657,33.0376,6.088,"2016"
"136",2,13.657,33.0376,6.088,"2016"
"137",9,13.571,33.0815,6.094,"2016"
"138",10,13.572,33.0952,6.106,"2016"
"139",19,13.595,33.1499,6.081,"2016"
"140",20,13.596,33.1529,6.078,"2016"
"141",30,13.548,33.1796,6.009,"2016"
"142",49,13.415,33.2372,5.693,"2016"
"143",50,13.403,33.2412,5.654,"2016"
"144",70,11.942,33.3264,4.788,"2016"
"145",75,11.186,33.3493,4.433,"2016"
"146",100,10.073,33.4683,3.793,"2016"
"147",120,9.458,33.6128,3.433,"2016"
"148",125,9.407,33.6825,3.258,"2016"
"149",140,9.246,33.8021,2.86,"2016"
"150",150,9.171,33.8459,2.733,"2016"
"151",200,8.829,34.023,2.099,"2016"
"152",250,8.117,34.0722,1.843,"2016"
"153",271,8.016,34.0972,1.651,"2016"
"154",300,7.703,34.1061,1.465,"2016"
"155",384,6.859,34.1661,0.838,"2016"
"156",400,6.65,34.1706,0.756,"2016"
"157",500,5.804,34.2014,0.485,"2016"
"158",513,5.752,34.2025,0.437,"2016"
"159",0,13.651,33.1656,6.062,"2016"
"160",2,13.651,33.1656,6.062,"2016"
"161",10,13.624,33.1744,6.075,"2016"
"162",20,13.632,33.2094,5.997,"2016"
"163",30,13.627,33.2396,5.971,"2016"
"164",50,13.589,33.2715,5.871,"2016"
"165",71,11.18,33.3061,4.538,"2016"
"166",75,11.053,33.3085,4.417,"2016"
"167",100,9.079,33.4512,4.003,"2016"
"168",120,8.735,33.5502,3.837,"2016"
"169",125,8.985,33.671,3.391,"2016"
"170",140,9.078,33.8365,2.815,"2016"
"171",150,8.946,33.9068,2.582,"2016"
"172",200,8.466,34.0335,2.154,"2016"
"173",201,8.459,34.0355,2.115,"2016"
"174",250,8.056,34.1142,1.55,"2016"
"175",271,7.806,34.1183,1.452,"2016"
"176",300,7.492,34.1247,1.265,"2016"
"177",382,6.664,34.1513,0.799,"2016"
"178",400,6.591,34.1566,0.776,"2016"
"179",500,5.632,34.1593,0.563,"2016"
"180",516,5.529,34.1707,0.485,"2016"
"181",0,13.408,33.044,6.075,"2016"
"182",2,13.408,33.044,6.075,"2016"
"183",10,13.393,33.0818,6.075,"2016"
"184",20,13.424,33.1174,6.019,"2016"
"185",30,13.4,33.1203,5.991,"2016"
"186",50,12.773,33.2714,5.314,"2016"
"187",51,12.888,33.2792,5.269,"2016"
"188",70,11.733,33.4064,4.366,"2016"
"189",75,11.571,33.4339,4.287,"2016"
"190",100,9.758,33.3349,4.159,"2016"
"191",120,8.853,33.4877,3.983,"2016"
"192",125,8.886,33.5881,3.769,"2016"
"193",140,8.88,33.7616,3.11,"2016"
"194",150,8.788,33.8042,2.996,"2016"
"195",200,8.312,33.9459,2.729,"2016"
"196",201,8.279,33.9526,2.722,"2016"
"197",250,7.749,34.0089,2.288,"2016"
"198",270,7.498,34.0247,2.038,"2016"
"199",300,7.035,34.0333,1.786,"2016"
"200",381,6.301,34.0723,1.133,"2016"
"201",400,6.152,34.0859,1.011,"2016"
"202",500,5.786,34.1869,0.505,"2016"
"203",517,5.67,34.204,0.446,"2016"
"204",0,14.228,32.9586,5.928,"2016"
"205",2,14.228,32.9586,5.928,"2016"
"206",10,14.226,32.9499,5.942,"2016"
"207",11,14.201,32.9511,5.932,"2016"
"208",20,14.066,32.9515,5.942,"2016"
"209",21,14.049,32.9514,5.931,"2016"
"210",30,14.035,32.951,5.935,"2016"
"211",50,14.003,32.9563,5.911,"2016"
"212",51,14.002,32.9564,5.891,"2016"
"213",71,13.584,33.0579,5.619,"2016"
"214",75,13.532,33.0935,5.613,"2016"
"215",100,11.605,33.1558,4.777,"2016"
"216",121,10.201,33.3345,4.161,"2016"
"217",125,10.084,33.3544,4.115,"2016"
"218",140,9.774,33.4912,3.7,"2016"
"219",150,9.886,33.5883,3.406,"2016"
"220",200,9.268,33.8428,2.463,"2016"
"221",250,9.113,33.9793,2.052,"2016"
"222",271,8.739,33.996,2.218,"2016"
"223",300,8.39,34.0345,2.081,"2016"
"224",381,7.567,34.1234,1.302,"2016"
"225",400,7.374,34.131,1.147,"2016"
"226",500,6.434,34.153,0.735,"2016"
"227",516,6.402,34.1676,0.66,"2016"
"228",0,13.944,33.2718,5.967,"2016"
"229",2,13.944,33.2718,5.967,"2016"
"230",9,13.941,33.2713,5.956,"2016"
"231",10,13.954,33.2758,5.976,"2016"
"232",20,13.955,33.2759,5.965,"2016"
"233",30,13.962,33.2765,5.966,"2016"
"234",49,13.968,33.2847,5.903,"2016"
"235",50,13.967,33.2865,5.904,"2016"
"236",50,13.967,33.2865,5.904,"2016"
"237",70,13.185,33.3626,5.237,"2016"
"238",75,12.991,33.3568,5.146,"2016"
"239",99,11.507,33.4009,4.161,"2016"
"240",100,11.515,33.4146,4.139,"2016"
"241",121,10.734,33.5662,3.621,"2016"
"242",125,10.505,33.6115,3.49,"2016"
"243",140,9.86,33.7319,3.013,"2016"
"244",150,9.598,33.7984,2.845,"2016"
"245",200,8.827,34.0071,2.143,"2016"
"246",250,8.404,34.056,1.928,"2016"
"247",268,8.2,34.0757,1.781,"2016"
"248",0,13.826,33.2783,5.966,"2016"
"249",2,13.826,33.2783,5.966,"2016"
"250",9,13.829,33.2799,5.964,"2016"
"251",10,13.828,33.2798,5.964,"2016"
"252",19,13.831,33.2798,5.972,"2016"
"253",20,13.831,33.2795,5.96,"2016"
"254",30,13.832,33.2795,5.962,"2016"
"255",50,13.714,33.2988,5.778,"2016"
"256",70,11.748,33.4142,4.304,"2016"
"257",75,11.526,33.432,4.2,"2016"
"258",99,10.811,33.5395,3.64,"2016"
"259",100,10.718,33.5686,3.595,"2016"
"260",119,10.136,33.7286,3.041,"2016"
"261",125,10.157,33.7565,2.924,"2016"
"262",140,10.009,33.8181,2.733,"2016"
"263",150,9.972,33.8366,2.667,"2016"
"264",200,9.187,33.9888,2.222,"2016"
"265",201,9.179,33.9909,2.215,"2016"
"266",250,8.752,34.0696,1.888,"2016"
"267",270,8.501,34.092,1.754,"2016"
"268",300,8.185,34.1043,1.637,"2016"
"269",379,7.281,34.1422,1.098,"2016"
"270",400,7.12,34.1648,0.968,"2016"
"271",500,6.391,34.2161,0.535,"2016"
"272",517,6.141,34.2081,0.476,"2016"
"273",0,13.415,32.8726,6.058,"2016"
"274",2,13.415,32.8726,6.058,"2016"
"275",10,13.418,32.8724,6.041,"2016"
"276",19,13.422,32.8739,6.061,"2016"
"277",20,13.422,32.8732,6.041,"2016"
"278",30,13.419,32.8787,6.037,"2016"
"279",50,12.847,33.131,5.441,"2016"
"280",70,10.97,33.202,4.747,"2016"
"281",75,10.746,33.1929,4.574,"2016"
"282",100,9.529,33.3914,3.98,"2016"
"283",101,9.516,33.4041,3.946,"2016"
"284",120,9.303,33.6112,3.516,"2016"
"285",125,9.274,33.6203,3.522,"2016"
"286",140,8.741,33.7575,3.398,"2016"
"287",150,8.744,33.8203,3.077,"2016"
"288",200,8.482,34.0546,1.903,"2016"
"289",250,8.021,34.1133,1.565,"2016"
"290",270,7.746,34.1078,1.468,"2016"
"291",300,7.467,34.1142,1.323,"2016"
"292",380,6.675,34.16,0.772,"2016"
"293",400,6.504,34.1768,0.667,"2016"
"294",500,5.805,34.2371,0.37,"2016"
"295",517,5.698,34.2454,0.347,"2016"
"296",0,14.038,32.9107,5.921,"2016"
"297",2,14.038,32.9107,5.921,"2016"
"298",10,14.043,32.9139,5.907,"2016"
"299",20,14.041,32.9138,5.907,"2016"
"300",30,14.041,32.9136,5.906,"2016"
"301",50,13.713,33.0774,5.609,"2016"
"302",70,11.866,33.2145,4.896,"2016"
"303",75,10.987,33.2208,4.766,"2016"
"304",100,9.23,33.3456,4.439,"2016"
"305",120,9.239,33.5802,3.672,"2016"
"306",125,9.228,33.6174,3.504,"2016"
"307",140,8.796,33.73,3.286,"2016"
"308",150,8.665,33.8127,3.147,"2016"
"309",200,8.219,33.9857,2.761,"2016"
"310",201,8.219,33.9869,2.597,"2016"
"311",250,7.719,34.0605,1.824,"2016"
"312",271,7.622,34.0863,1.582,"2016"
"313",300,7.34,34.1133,1.281,"2016"
"314",380,6.343,34.1167,0.905,"2016"
"315",400,6.204,34.1279,0.827,"2016"
"316",500,5.472,34.1707,0.5,"2016"
"317",518,5.647,34.2263,0.386,"2016"
"318",0,13.699,32.8756,6.088,"2016"
"319",2,13.699,32.8756,6.088,"2016"
"320",9,13.459,32.871,6.078,"2016"
"321",10,13.45,32.8719,6.114,"2016"
"322",19,13.425,32.8731,6.104,"2016"
"323",20,13.416,32.8748,6.104,"2016"
"324",30,13.336,33.0255,6.036,"2016"
"325",49,13.379,33.1775,5.927,"2016"
"326",50,13.385,33.1818,5.911,"2016"
"327",69,12.661,33.3153,5.25,"2016"
"328",75,11.845,33.3318,4.93,"2016"
"329",100,10.249,33.5478,3.5,"2016"
"330",100,10.249,33.5478,3.5,"2016"
"331",120,10.124,33.6856,3.127,"2016"
"332",125,9.987,33.7035,3.112,"2016"
"333",139,9.693,33.7297,3.025,"2016"
"334",150,9.332,33.811,2.894,"2016"
"335",200,8.699,33.9822,2.4,"2016"
"336",250,8.294,34.0792,1.831,"2016"
"337",270,8.065,34.1048,1.592,"2016"
"338",300,7.52,34.0871,1.55,"2016"
"339",380,6.481,34.0932,1.021,"2016"
"340",400,6.372,34.1108,0.899,"2016"
"341",500,5.612,34.1514,0.593,"2016"
"342",515,5.503,34.1549,0.535,"2016"
"343",0,14.547,32.9193,5.89,"2016"
"344",2,14.547,32.9193,5.89,"2016"
"345",9,14.372,32.9211,5.895,"2016"
"346",10,14.367,32.9213,5.912,"2016"
"347",20,14.346,32.9213,5.911,"2016"
"348",30,14.33,32.9209,5.899,"2016"
"349",50,14.243,32.9246,5.872,"2016"
"350",70,13.923,32.9346,5.818,"2016"
"351",75,13.859,32.9568,5.777,"2016"
"352",100,12.054,33.1113,5.12,"2016"
"353",101,11.693,33.1169,5.155,"2016"
"354",120,10.427,33.1631,4.777,"2016"
"355",125,10.063,33.2355,4.724,"2016"
"356",140,9.809,33.5138,3.695,"2016"
"357",150,9.218,33.5884,3.654,"2016"
"358",200,8.813,33.9489,2.648,"2016"
"359",250,8.361,34.0635,1.971,"2016"
"360",270,8.037,34.0789,1.821,"2016"
"361",300,7.733,34.0926,1.562,"2016"
"362",380,6.727,34.1161,1.018,"2016"
"363",400,6.488,34.1075,0.998,"2016"
"364",500,6.027,34.2105,0.461,"2016"
"365",516,5.867,34.2125,0.405,"2016"
"366",0,13.941,33.2484,5.923,"2016"
"367",2,13.941,33.2484,5.923,"2016"
"368",9,13.94,33.2523,5.908,"2016"
"369",10,13.929,33.2542,5.907,"2016"
"370",20,13.921,33.255,5.914,"2016"
"371",30,13.924,33.272,5.86,"2016"
"372",50,13.057,33.4571,4.902,"2016"
"373",70,12.694,33.499,4.551,"2016"
"374",75,12.504,33.5029,4.429,"2016"
"375",100,11.269,33.575,3.657,"2016"
"376",120,10.84,33.6504,3.359,"2016"
"377",125,10.689,33.6668,3.286,"2016"
"378",140,10.102,33.7903,2.831,"2016"
"379",150,9.681,33.8798,2.597,"2016"
"380",200,8.746,34.0571,1.893,"2016"
"381",250,8.129,34.1199,1.534,"2016"
"382",271,8.02,34.1297,1.456,"2016"
"383",300,7.849,34.1416,1.328,"2016"
"384",320,7.722,34.1498,1.264,"2016"
"385",371,7.387,34.1631,1.024,"2016"
"386",0,13.789,33.16,6.007,"2016"
"387",2,13.789,33.16,6.007,"2016"
"388",10,13.796,33.1589,6.032,"2016"
"389",20,13.797,33.1588,6.026,"2016"
"390",30,13.795,33.1734,5.995,"2016"
"391",50,13.04,33.2992,5.535,"2016"
"392",70,11.114,33.3311,4.29,"2016"
"393",75,10.726,33.4253,3.993,"2016"
"394",100,10.599,33.7057,3.067,"2016"
"395",120,9.829,33.6987,3.155,"2016"
"396",125,9.87,33.7849,2.917,"2016"
"397",140,9.471,33.8181,2.754,"2016"
"398",150,9.375,33.868,2.69,"2016"
"399",200,8.458,33.9547,2.732,"2016"
"400",250,8.294,34.1049,1.752,"2016"
"401",271,8.261,34.1376,1.552,"2016"
"402",300,8.087,34.1861,1.138,"2016"
"403",380,7.148,34.1936,0.794,"2016"
"404",400,6.748,34.1734,0.773,"2016"
"405",500,6.049,34.234,0.424,"2016"
"406",518,5.87,34.2357,0.39,"2016"
"407",0,13.904,33.3144,5.997,"2016"
"408",2,13.904,33.3144,5.997,"2016"
"409",10,13.904,33.3178,5.986,"2016"
"410",20,13.901,33.3163,5.987,"2016"
"411",30,13.72,33.3144,5.84,"2016"
"412",50,12.8,33.4521,4.63,"2016"
"413",70,11.818,33.4755,3.941,"2016"
"414",75,11.3,33.4412,3.983,"2016"
"415",100,9.612,33.5246,3.608,"2016"
"416",120,9.438,33.7434,3.096,"2016"
"417",125,9.363,33.8053,2.992,"2016"
"418",140,9.253,33.8538,2.83,"2016"
"419",150,8.795,33.8717,2.991,"2016"
"420",200,8.264,33.9759,2.615,"2016"
"421",250,8.11,34.0658,1.928,"2016"
"422",270,7.922,34.0898,1.646,"2016"
"423",300,7.549,34.1153,1.36,"2016"
"424",382,6.825,34.1806,0.715,"2016"
"425",400,6.746,34.188,0.688,"2016"
"426",500,5.919,34.2148,0.435,"2016"
"427",517,5.823,34.2262,0.381,"2016"
"428",0,13.934,32.8548,6.001,"2016"
"429",1,13.934,32.8548,6.001,"2016"
"430",10,13.939,32.8574,5.987,"2016"
"431",20,13.948,32.8583,5.987,"2016"
"432",30,13.57,32.8693,6.048,"2016"
"433",47,13.326,32.955,5.779,"2016"
"434",50,13.302,32.9992,5.798,"2016"
"435",69,13.308,33.0885,5.843,"2016"
"436",75,13.26,33.1109,5.72,"2016"
"437",100,10.396,33.2369,4.559,"2016"
"438",120,9.7,33.4552,3.884,"2016"
"439",125,9.568,33.4993,3.777,"2016"
"440",140,9.272,33.6055,3.514,"2016"
"441",150,9.149,33.7023,3.297,"2016"
"442",200,8.585,33.9418,2.495,"2016"
"443",201,8.571,33.9395,2.533,"2016"
"444",250,8.102,34.0335,2.062,"2016"
"445",273,8.024,34.074,1.903,"2016"
"446",300,7.586,34.0582,1.746,"2016"
"447",380,6.845,34.1352,0.925,"2016"
"448",400,6.623,34.1301,0.907,"2016"
"449",500,5.947,34.1673,0.599,"2016"
"450",513,5.843,34.1679,0.545,"2016"
"451",0,14.344,32.9252,5.917,"2016"
"452",3,14.344,32.9252,5.917,"2016"
"453",8,14.346,32.9244,5.91,"2016"
"454",10,14.333,32.9246,5.926,"2016"
"455",18,14.325,32.925,5.917,"2016"
"456",20,14.317,32.9257,5.916,"2016"
"457",30,14.248,32.9335,5.903,"2016"
"458",49,14.139,32.967,5.791,"2016"
"459",50,14.132,32.9675,5.797,"2016"
"460",69,12.885,33.0502,5.328,"2016"
"461",75,12.569,33.062,5.342,"2016"
"462",100,10.384,33.1572,4.844,"2016"
"463",120,9.373,33.4118,4.306,"2016"
"464",125,9.342,33.5053,3.771,"2016"
"465",138,9.102,33.6447,3.203,"2016"
"466",150,9.306,33.847,2.73,"2016"
"467",200,8.27,33.9185,3.204,"2016"
"468",250,7.725,33.9766,2.905,"2016"
"469",271,7.349,33.9932,2.529,"2016"
"470",300,7.218,34.0276,1.948,"2016"
"471",379,6.447,34.0685,1.197,"2016"
"472",400,6.426,34.11,0.956,"2016"
"473",500,5.707,34.1911,0.48,"2016"
"474",514,5.609,34.1813,0.479,"2016"
"475",0,14.718,33.0284,5.836,"2016"
"476",2,14.718,33.0284,5.836,"2016"
"477",10,14.721,33.0286,5.844,"2016"
"478",11,14.722,33.0288,5.863,"2016"
"479",20,14.718,33.0283,5.848,"2016"
"480",26,14.721,33.0284,5.858,"2016"
"481",30,14.719,33.0281,5.842,"2016"
"482",50,14.645,33.0767,5.824,"2016"
"483",63,14.357,33.1006,5.8,"2016"
"484",75,14.045,33.1483,5.778,"2016"
"485",87,12.129,33.1283,5.195,"2016"
"486",100,10.892,33.2052,4.727,"2016"
"487",102,10.836,33.2067,4.718,"2016"
"488",125,9.79,33.3925,4.186,"2016"
"489",126,9.783,33.3948,4.185,"2016"
"490",140,9.395,33.5899,3.592,"2016"
"491",150,9.131,33.6626,3.479,"2016"
"492",200,8.586,33.9016,3.221,"2016"
"493",203,8.575,33.9063,3.198,"2016"
"494",250,8.046,34.0086,2.48,"2016"
"495",270,7.866,34.0196,2.345,"2016"
"496",300,7.591,34.0383,2.053,"2016"
"497",384,6.707,34.0669,1.39,"2016"
"498",400,6.667,34.1089,1.103,"2016"
"499",500,5.884,34.186,0.517,"2016"
"500",518,5.723,34.1938,0.478,"2016"
"501",0,13.929,33.1566,5.895,"2016"
"502",1,13.929,33.1566,5.895,"2016"
"503",5,13.932,33.1537,5.858,"2016"
"504",10,13.888,33.2204,5.761,"2016"
"505",20,13.649,33.3805,5.447,"2016"
"506",30,13.628,33.387,5.421,"2016"
"507",31,13.628,33.3863,5.403,"2016"
"508",0,14.281,33.454,5.906,"2016"
"509",2,14.281,33.454,5.906,"2016"
"510",10,14.268,33.453,5.899,"2016"
"511",11,14.265,33.453,5.914,"2016"
"512",20,14.264,33.4531,5.905,"2016"
"513",30,14.212,33.4495,5.89,"2016"
"514",50,14.078,33.4593,5.662,"2016"
"515",51,14.03,33.4671,5.656,"2016"
"516",71,13.123,33.4733,4.724,"2016"
"517",75,13.063,33.4895,4.665,"2016"
"518",100,11.646,33.5349,3.682,"2016"
"519",121,10.758,33.8279,2.697,"2016"
"520",125,10.596,33.8254,2.664,"2016"
"521",140,10.432,33.8726,2.574,"2016"
"522",150,10.208,33.9277,2.39,"2016"
"523",200,9.679,34.0222,2.106,"2016"
"524",250,8.929,34.1077,1.757,"2016"
"525",270,8.791,34.1484,1.549,"2016"
"526",300,8.399,34.1619,1.412,"2016"
"527",381,7.062,34.1119,1.172,"2016"
"528",400,6.894,34.1311,0.999,"2016"
"529",500,6.324,34.2321,0.469,"2016"
"530",518,6.169,34.239,0.426,"2016"
"531",0,14.368,33.1934,5.947,"2016"
"532",3,14.368,33.1934,5.947,"2016"
"533",10,14.367,33.1956,5.937,"2016"
"534",11,14.368,33.1937,5.951,"2016"
"535",20,14.369,33.2055,5.927,"2016"
"536",30,14.335,33.2139,5.931,"2016"
"537",50,13.576,33.2765,5.834,"2016"
"538",70,11.638,33.2132,4.818,"2016"
"539",75,11.227,33.2311,4.753,"2016"
"540",100,10.089,33.4631,3.921,"2016"
"541",101,10.053,33.4597,3.853,"2016"
"542",121,9.884,33.7109,3.139,"2016"
"543",125,9.876,33.7107,3.155,"2016"
"544",141,9.684,33.8143,2.858,"2016"
"545",150,9.592,33.8348,2.828,"2016"
"546",200,9.06,34.0596,1.993,"2016"
"547",201,9.06,34.0609,1.936,"2016"
"548",250,8.77,34.1474,1.545,"2016"
"549",271,8.367,34.1611,1.392,"2016"
"550",300,8.06,34.1749,1.233,"2016"
"551",380,6.723,34.145,0.895,"2016"
"552",400,6.626,34.1711,0.717,"2016"
"553",500,5.893,34.2081,0.446,"2016"
"554",515,5.827,34.2169,0.436,"2016"
"555",0,13.946,32.8242,5.99,"2016"
"556",3,13.946,32.8242,5.99,"2016"
"557",8,13.948,32.8231,5.982,"2016"
"558",10,13.947,32.8229,5.996,"2016"
"559",19,13.943,32.8265,5.994,"2016"
"560",20,13.943,32.8281,5.994,"2016"
"561",30,13.828,32.8324,6.003,"2016"
"562",50,13.508,32.8996,5.877,"2016"
"563",69,12.953,33.1224,5.455,"2016"
"564",75,12.445,33.1599,5.139,"2016"
"565",100,10.126,33.3323,4.15,"2016"
"566",119,9.489,33.4353,4.02,"2016"
"567",125,9.306,33.4493,4.101,"2016"
"568",139,9.018,33.6361,3.517,"2016"
"569",150,8.889,33.7376,3.264,"2016"
"570",200,8.602,33.986,2.325,"2016"
"571",250,7.975,34.0693,1.781,"2016"
"572",269,7.769,34.0774,1.662,"2016"
"573",300,7.282,34.0654,1.677,"2016"
"574",376,6.62,34.1346,0.875,"2016"
"575",400,6.426,34.1461,0.772,"2016"
"576",500,5.909,34.2308,0.424,"2016"
"577",515,5.728,34.2172,0.418,"2016"
"578",0,15.142,33.0958,5.783,"2016"
"579",2,15.142,33.0958,5.783,"2016"
"580",9,15.147,33.0942,5.795,"2016"
"581",10,15.148,33.0941,5.788,"2016"
"582",18,15.149,33.0956,5.752,"2016"
"583",20,15.057,33.0995,5.805,"2016"
"584",30,14.917,33.099,5.811,"2016"
"585",50,14.546,33.1135,5.755,"2016"
"586",70,12.238,33.0812,5.368,"2016"
"587",75,12.034,33.0912,5.208,"2016"
"588",99,10.285,33.2113,4.751,"2016"
"589",100,10.252,33.2196,4.712,"2016"
"590",119,9.479,33.3728,4.504,"2016"
"591",125,9.484,33.429,4.388,"2016"
"592",141,9.068,33.6135,3.787,"2016"
"593",150,8.969,33.6587,3.691,"2016"
"594",200,8.523,33.9098,3.041,"2016"
"595",250,7.987,33.9833,2.871,"2016"
"596",271,7.707,33.9931,2.676,"2016"
"597",300,7.48,34.0237,2.175,"2016"
"598",382,6.699,34.112,1.028,"2016"
"599",400,6.515,34.1199,0.923,"2016"
"600",500,5.885,34.194,0.515,"2016"
"601",511,5.846,34.2095,0.452,"2016"
"602",0,15.253,33.0337,5.773,"2016"
"603",2,15.253,33.0337,5.773,"2016"
"604",10,15.238,33.0375,5.78,"2016"
"605",20,15.243,33.0375,5.78,"2016"
"606",24,15.242,33.0368,5.766,"2016"
"607",30,15.244,33.0369,5.777,"2016"
"608",50,14.636,33.0264,5.863,"2016"
