"","Depthm","T_degC","Salnty","O2ml_L","Year"
"1",0,13.342,32.7369,6.189,"2016"
"2",2,13.342,32.7369,6.189,"2016"
"3",6,13.358,32.8685,6.179,"2016"
"4",10,13.362,33.0125,6.057,"2016"
"5",11,13.313,33.0972,6.048,"2016"
"6",20,13.39,33.2259,5.992,"2016"
"7",30,13.387,33.265,6.006,"2016"
"8",50,13.294,33.2879,5.738,"2016"
"9",71,12.669,33.3763,4.993,"2016"
"10",75,12.541,33.3838,4.948,"2016"
"11",80,12.353,33.38,4.742,"2016"
"12",0,13.1,33.0162,6.121,"2016"
"13",2,13.1,33.0162,6.121,"2016"
"14",10,13.107,33.0345,6.087,"2016"
"15",20,13.074,33.1536,5.919,"2016"
"16",30,13.061,33.1971,5.938,"2016"
"17",50,13.003,33.2302,5.843,"2016"
"18",70,11.639,33.3884,4.394,"2016"
"19",75,11.41,33.4239,4.173,"2016"
"20",100,10.577,33.6063,3.399,"2016"
"21",101,10.539,33.5812,3.334,"2016"
"22",120,9.905,33.7151,3.007,"2016"
"23",125,9.805,33.7278,2.992,"2016"
"24",141,9.688,33.8162,2.777,"2016"
"25",150,9.526,33.8402,2.726,"2016"
"26",200,8.725,33.9482,2.554,"2016"
"27",250,8.107,34.0712,1.85,"2016"
"28",269,7.975,34.0938,1.638,"2016"
"29",300,7.748,34.1192,1.397,"2016"
"30",381,6.744,34.1216,0.998,"2016"
"31",400,6.584,34.1296,0.93,"2016"
"32",500,5.629,34.139,0.641,"2016"
"33",515,5.535,34.1268,0.577,"2016"
"34",0,14.024,33.2137,6.092,"2016"
"35",2,14.024,33.2137,6.092,"2016"
"36",9,13.929,33.2294,6.119,"2016"
"37",10,13.921,33.2313,6.089,"2016"
"38",20,13.862,33.2807,5.933,"2016"
"39",30,13.855,33.3079,5.897,"2016"
"40",50,13.569,33.313,5.84,"2016"
"41",69,12.336,33.3671,4.596,"2016"
"42",75,11.554,33.3602,4.463,"2016"
"43",98,10.686,33.4825,3.729,"2016"
"44",100,10.667,33.5212,3.714,"2016"
"45",121,9.768,33.5561,3.535,"2016"
"46",125,9.734,33.5576,3.541,"2016"
"47",141,9.43,33.6991,3.261,"2016"
"48",150,9.328,33.7911,2.882,"2016"
"49",200,8.663,34.0139,2.223,"2016"
"50",201,8.644,34.015,2.214,"2016"
"51",250,8.049,34.0964,1.655,"2016"
"52",271,7.91,34.1171,1.489,"2016"
"53",300,7.561,34.1293,1.27,"2016"
"54",381,7.006,34.1989,0.731,"2016"
"55",400,6.963,34.2123,0.684,"2016"
"56",500,6.133,34.2274,0.46,"2016"
"57",516,6.02,34.2109,0.429,"2016"
"58",0,15.139,32.9014,5.833,"2016"
"59",2,15.139,32.9014,5.833,"2016"
"60",9,14.641,32.9196,5.852,"2016"
