# A subset of data downloaded from https://www.kaggle.com/rush4ratio/video-game-sales-with-ratings
# Accessed March 8, 2017
"Name" "Platform" "Year" "Genre" "Publisher" "Sales"
"1" "Call of Duty: Black Ops" "X360" 2010 "Shooter" "Activision" 9.7
"2" "Call of Duty: Black Ops" "PS3" 2010 "Shooter" "Activision" 5.99
"3" "Call of Duty: World at War" "X360" 2008 "Shooter" "Activision" 4.81
"4" "Call of Duty: World at War" "PS3" 2008 "Shooter" "Activision" 2.73
"5" "FIFA Soccer 11" "PS3" 2010 "Sports" "Electronic Arts" 0.61
"6" "Madden NFL 07" "PS2" 2006 "Sports" "Electronic Arts" 3.63
"7" "Call of Duty: Modern Warfare 2" "X360" 2009 "Shooter" "Activision" 8.52
"8" "Call of Duty: Modern Warfare 2" "PS3" 2009 "Shooter" "Activision" 4.99
"9" "Call of Duty 4: Modern Warfare" "X360" 2007 "Shooter" "Activision" 5.93
"10" "Call of Duty 4: Modern Warfare" "PS3" 2007 "Shooter" "Activision" 3.11
"11" "FIFA Soccer 07" "PS2" 2006 "Sports" "Electronic Arts" 0.71
"12" "Left 4 Dead 2" "X360" 2009 "Shooter" "Electronic Arts" 2.67
"13" "EA Sports Active" "Wii" 2009 "Sports" "Electronic Arts" 2.09
"14" "LEGO Indiana Jones: The Original Adventures" "X360" 2008 "Action" "Activision" 2.4
"15" "FIFA Soccer 10" "PS3" 2009 "Sports" "Electronic Arts" 0.6
"16" "FIFA Soccer 11" "X360" 2010 "Sports" "Electronic Arts" 0.71
"17" "Left 4 Dead" "X360" 2008 "Shooter" "Electronic Arts" 2.66
"18" "Battlefield: Bad Company 2" "X360" 2010 "Shooter" "Electronic Arts" 2.1
"19" "FIFA Soccer 08" "PS2" 2007 "Sports" "Electronic Arts" 0.68
"20" "Kung Fu Panda" "X360" 2008 "Action" "Activision" 1.91
"21" "Battlefield: Bad Company 2" "PS3" 2010 "Shooter" "Electronic Arts" 1.33
"22" "Madden NFL 10" "X360" 2009 "Sports" "Electronic Arts" 2.52
"23" "Medal of Honor" "PS3" 2010 "Shooter" "Electronic Arts" 1.28
"24" "Call of Duty 3" "X360" 2006 "Shooter" "Activision" 1.49
"25" "Madden NFL 11" "X360" 2010 "Sports" "Electronic Arts" 2.38
"26" "Medal of Honor Heroes" "PSP" 2006 "Shooter" "Electronic Arts" 0.86
"27" "Skate 3" "X360" 2010 "Sports" "Electronic Arts" 1.47
"28" "FIFA Soccer 10" "X360" 2009 "Sports" "Electronic Arts" 0.59
"29" "Medal of Honor" "X360" 2010 "Shooter" "Electronic Arts" 1.56
"30" "FIFA Soccer 09" "PS3" 2008 "Sports" "Electronic Arts" 0.48
"31" "Madden NFL 08" "PS2" 2007 "Sports" "Electronic Arts" 2.14
"32" "Madden NFL 09" "X360" 2008 "Sports" "Electronic Arts" 2.21
"33" "Madden NFL 11" "PS3" 2010 "Sports" "Electronic Arts" 2.04
